no,word-talgalog,word meaning-english,scentence-tagalog,scentence-korean
1378,medikal,medical – relating to medicine or healthcare,Kailangan ko ng medikal na tulong.,나는 의료 도움이 필요합니다.
1379,matinding,intense – very strong or extreme,Ang init ay matinding nararamdaman.,더위가 매우 극심합니다.
1380,matematika,mathematics – the study of numbers and patterns,Ang matematika ay mahalaga sa agham.,수학은 과학에 중요합니다.
1381,manga,manga – Japanese comic books or graphic novels,Mahilig akong magbasa ng manga.,나는 만화 읽기를 좋아합니다.
1382,mamatay,to die – to cease living,Hindi natin alam kung kailan tayo mamamatay.,우리는 언제 죽을지 모릅니다.
1383,mamamahayag,journalist – a person who writes for newspapers or broadcasts,Mamamahayag siya sa pahayagan.,그는 신문사의 기자입니다.
1384,makakuha,to obtain – to get or acquire,Gusto kong makakuha ng bagong telepono.,나는 새 휴대폰을 얻고 싶습니다.
1385,mainit,hot – having a high temperature,Mainit ang kape.,커피가 뜨겁습니다.
1386,magsimula,to begin – to start something,Magsisimula kami ng 8:00 a.m.,우리는 오전 8시에 시작합니다.
1387,magkakaroon,will have – future tense of “have”,Magkakaroon kami ng pista bukas.,우리는 내일 축제를 가질 것입니다.
1388,magasin,magazine – a periodical publication,Nagbasa ako ng magasin sa kapihan.,나는 카페에서 잡지를 읽었습니다.
1389,madali,easy – not difficult,Madali lang ang pagsusulit.,시험은 쉬웠습니다.
1390,mabuting,good – having desirable quality,Siya ay mabuting tao.,그는 좋은 사람입니다.
1391,lokasyon,location – a place or position,Ano ang lokasyon ng inyong opisina?,당신의 사무실 위치가 어디인가요?
1392,literal,literal – exact meaning of words,Ang literal na kahulugan ay iba.,글자 그대로의 의미는 다릅니다.
1393,likido,liquid – a substance that flows,Ang likido ay tumagas sa sahig.,액체가 바닥에 흘렀습니다.
1394,libong,thousands – plural of thousand,Libong tao ang dumalo.,수천 명이 참석했습니다.
1395,libingan,grave – a burial place,Ang libingan ay tahimik.,무덤은 조용합니다.
1396,lebel,level – amount or degree,Ang lebel ng tubig ay mataas.,수위가 높습니다.
1397,leap,leap – a sudden jump or movement,Nakita ko ang leap ng pusa.,나는 고양이의 뛰어오르는 것을 봤습니다.
1398,labi,remains – what is left after destruction,Ang labi ng sinaunang lungsod ay makikita pa rin.,고대 도시의 흔적이 아직 남아 있습니다.
1399,komunikasyon,communication – the exchange of information,Mahalaga ang komunikasyon sa trabaho.,직장에서 의사소통은 중요합니다.
1400,kinikilala,recognized – acknowledged or accepted,Siya ay kinikilalang pinakamahusay.,그는 최고로 인정받고 있습니다.
1401,kinalaman,relation – connection or relevance,Walang kinalaman ito sa usapan.,이것은 대화와 무관합니다.
1402,kilusan,movement – a group effort for social change,Ang kilusan ay nagtagumpay.,운동이 성공했습니다.
1403,kemikal,chemical – a substance used in chemistry,Ang kemikal ay mapanganib.,화학물질은 위험합니다.
1404,kawalang,lack – absence or deficiency,Kawalang kumpiyansa ang problema niya.,그는 자신감 부족이 문제입니다.
1405,katotohanan,truth – the quality of being true,Ang katotohanan ay mahirap tanggapin.,진실을 받아들이기 어렵습니다.
1406,katimugang,southern – situated in the south,Ang katimugang bahagi ay mainit.,남부 지역은 덥습니다.
1407,karamdaman,illness – a disease or sickness,Ang karamdaman niya ay mild.,그의 질병은 가볍습니다.
1408,kalalakihan,men – plural form of man,Ang kalalakihan ay naglaro ng basketball.,남자들이 농구를 했습니다.
1409,kakaibang,strange – unusual or odd,Kakaibang damdamin ang naramdaman ko.,나는 이상한 감정을 느꼈습니다.
1410,kabayo,horse – a large four-legged domestic animal,Tumakbo ang kabayo sa parang.,말이 초원을 달렸습니다.
1411,kabanata,chapter – a division of a book or story,Ang kabanata 1 ay nakakaintriga.,1장은 흥미진진합니다.
1412,isyu,issue – a problem or topic,Isang malaking isyu ang korapsyon.,부패는 큰 문제입니다.
1413,isinagawa,conducted – carried out or performed,Isinagawa ang pag-aaral noong Enero.,연구는 1월에 수행되었습니다.
1414,inilipat,moved – transferred to another place,Inilipat nila ang opisina.,그들은 사무실을 옮겼습니다.
1415,inilimbag,printed – produced by printing,Ang libro ay inilimbag noong 2020.,책은 2020년에 인쇄되었습니다.
1416,ika-6,sixth – ordinal form of six,Ika-6 na pwesto siya.,그는 6등을 했습니다.
1417,ika-16,sixteenth – ordinal form of sixteen,Ika-16 ng Hunyo ang kasal.,결혼식은 6월 16일입니다.
1418,ibon,bird – a feathered flying creature,Ang ibon ay lumipad sa langit.,새가 하늘을 날았습니다.
1419,iba’t,various – different kinds,Iba’t ibang kulay ang mga bulaklak.,꽃들은 다양한 색상을 가지고 있습니다.
1420,gusto,want – to desire something,Gusto ko ng tsokolate.,나는 초콜릿을 원합니다.
1421,guhit,line – a straight mark or stroke,Ang guhit ay tuwid.,선이 곧습니다.
1422,gawi,habit – a usual behavior,Ang gawi niya ay magbasa bago matulog.,그녀의 습관은 자기 전에 읽는 것입니다.
1423,galit,anger – a strong feeling of displeasure,Ang galit niya ay bigla lang nawala.,그의 분노는 갑자기 사라졌습니다.
1424,ebanghelyo,gospel – the teachings of Jesus,Ayon sa ebanghelyo,magmahalan tayo.
1425,dolyar,dollar – the currency of the United States,Ang dolyar ay tumaas ang halaga.,달러 가치가 올랐습니다.
1426,diskarte,strategy – a plan or method,Ang diskarte niya ay epektibo.,그의 전략은 효과적입니다.
1427,direksyon,direction – the way something moves or faces,Ano ang direksyon papuntang estasyon?,역으로 가는 방향이 어디인가요?
1428,direksiyon,direction – same as direksyon,Kanang direksiyon ang daan.,오른쪽 방향으로 가세요.
1429,buwis,tax – a compulsory contribution to the state,Ang buwis ay kailangang bayaran.,세금은 반드시 내야 합니다.
1430,bitcoin,Bitcoin – a digital cryptocurrency,Ang bitcoin ay pumalo sa $60,0
1431,birus,virus – a microscopic infectious agent,Ang birus ay kumalat sa buong mundo.,바이러스가 전 세계로 퍼졌습니다.
1432,bersiyon,version – a particular form of something,Ang bersiyon 2.0 ay inilabas na.,버전 2.0이 출시되었습니다.
1433,batong,stone – a small piece of rock,Ang batong ito ay mabigat.,이 돌은 무겁습니다.
1434,basketball,basketball – a team sport with a hoop and ball,Naglalaro kami ng basketball tuwing hapon.,우리는 매일 오후에 농구를 합니다.
1435,balangkas,framework – a basic structure,Ang balangkas ng proyekto ay kumpleto.,프로젝트의 틀이 완성되었습니다.
1436,baka,cow – a large domesticated animal,Kumain ang baka sa damo.,소가 풀을 먹습니다.
1437,baha,flood – an overflow of water,Ang baha ay mabilis na tumaas.,홍수가 빠르게 차올랐습니다.
1438,aktibidad,activity – a task or action done for enjoyment,Ang aktibidad ay nagsimula nang maaga.,활동이 일찍 시작되었습니다.
1439,akda,works – literary or artistic creations,Ang akda ni Rizal ay pambihira.,리잘의 작품은 훌륭합니다.
1440,agad,immediately – without delay,Umalis siya agad.,그는 즉시 떠났습니다.
1441,X,X – the twenty-fourth letter or symbol for unknown,Isulat ang X sa sagot.,답안에 X를 쓰세요.
1442,UP,UP – University of the Philippines or upward direction,Mag-aaral siya sa UP.,그는 UP(필리핀 대학교)에 다닙니다.
1443,Tipan,covenant – a formal agreement or promise,Ang Tipan ay mahalaga sa pananampalataya.,언약은 믿음에 중요합니다.
1444,Taiwan,Taiwan – an island in East Asia,Taiwan ay kilala sa teknolohiya.,타이완은 기술로 잘 알려져 있습니다.
1445,Sinimulan,started – began,Sinimulan na ang programa.,프로그램이 시작되었습니다.
1446,Sinasabi,saying – expressing in words,Ang kanyang sinasabi ay totoo.,그녀가 말하는 것은 사실입니다.
1447,Sentral,central – located in the middle,Sentral ang lokasyon ng mall.,쇼핑몰은 중심지에 있습니다.
1448,Santiago,Santiago – a common Spanish given name or place,Si Santiago ay dumating kahapon.,산티아고가 어제 왔습니다.
1449,Robert,Robert – a common masculine given name,Si Robert ay nagtapos sa kolehiyo.,로버트가 대학을 졸업했습니다.
1450,Palarong,games – plural for “game” or “Palaro” (Filipino athletic event),Ang Palarong Pambansa ay gaganapin sa susunod na buwan.,팔라롱 전국대회가 다음 달에 열립니다.
1451,O,O – the fifteenth letter or expression of surprise,O! Talaga?,오! 정말요?
1452,Muhammad,Muhammad – the prophet of Islam,Si Muhammad ay itinuturing na propeta.,무함마드는 예언자로 여겨집니다.
1453,Madalas,often – many times,Madalas siyang dumadaan dito.,그는 종종 여기를 지나갑니다.
1454,Kapulungan,assembly – a group of people gathered for a purpose,Ang Kapulungan ay nagpasa ng batas.,의회가 법안을 통과시켰습니다.
1455,Kalendaryong,calendar – a system of organizing days,Ang kalendaryong ito ay para sa 2025.,이 달력은 2025년용입니다.
1456,Kalaunan,eventually – in the end,Kalaunan ay nagtagumpay siya.,결국 그는 성공했습니다.
1457,Jesus,Jesus – the central figure of Christianity,Si Jesus ay ipinanganak sa Betlehem.,예수는 베들레헴에서 태어났습니다.
1458,Ito'y,This is – a contraction of “Ito ay”,Ito'y magandang araw.,오늘은 좋은 날입니다.
1459,Ipinanganak,was born – came into existence,Ipinanganak siya noong 1990.,그는 1990년에 태어났습니다.
1460,Hughes,Hughes – a common English surname,Si Hughes ay nanalo sa patimpalak.,휴즈가 경연에서 이겼습니다.
1461,Hong Kong,Hong Kong – a special administrative region of China,Hong Kong ay sikat sa mga skyscraper.,홍콩은 마천루로 유명합니다.
1462,Hong,Hong – short for Hong Kong or a surname,Hong ay modernong lungsod.,홍은 현대적인 도시입니다.
1463,Gregorian,Gregorian – relating to Pope Gregory XIII or the calendar,Ang Gregorian calendar ay ginagamit ngayon.,그레고리력은 현재 사용되고 있습니다.
1464,Golden,golden – made of or colored like gold,Ang golden trophy ay kumikinang.,황금 트로피가 반짝입니다.
1465,Girl,girl – a female child or young woman,Ang girl ay masayahin.,그 소녀는 명랑합니다.
1466,Filipino,Filipino – a citizen of the Philippines or its language,Ang Filipino ay magalang.,필리핀 사람은 공손합니다.
1467,Festival,festival – a celebration or event,Maraming tao sa festival.,축제에 사람이 많습니다.
1468,Eskosya,Scotland – a country in the United Kingdom,Ang Eskosya ay may magagandang tanawin.,스코틀랜드는 아름다운 경치를 가지고 있습니다.
1469,Ehipto,Egypt – a country in North Africa,Ang Ehipto ay may mga piramide.,이집트에는 피라미드가 있습니다.
1470,Daniel,Daniel – a common masculine given name,Si Daniel ay matalino.,다니엘은 똑똑합니다.
1471,Dalawang,two – the number 2,Dalawang bata ang naglalaro.,두 아이가 놀고 있습니다.
1472,Commission,commission – a group with authority or a fee for service,Ang commission ay naglabas ng ulat.,위원회가 보고서를 발표했습니다.
1473,Black,black – the darkest color,Ang black na damit ay bagay sa kanya.,검은 옷이 그녀에게 잘 어울립니다.
1474,Aprika,Africa – the second largest continent,Ang Aprika ay may iba’t ibang kultura.,아프리카는 다양한 문화를 가지고 있습니다.
1475,Ama,Father – a male parent,Si Ama ay nagtatrabaho sa abroad.,아버지는 해외에서 일하십니다.
1476,Ali,Ali – a common given name in many cultures,Si Ali ay mabait na bata.,알리는 착한 아이입니다.
1477,yelo,ice – frozen water,Ang yelo ay natunaw na.,얼음이 이미 녹았습니다.
1478,website,website – a page or group of pages on the internet,Binuksan ko ang website ng paaralan.,나는 학교 웹사이트를 열었습니다.
1479,virus,virus – a microscopic infectious agent,Ang virus ay kumalat sa kompyuter.,컴퓨터에 바이러스가 퍼졌습니다.
1480,utang,debt – money that is owed,Malaki ang utang niya.,그는 큰 빚이 있습니다.
1481,tumataas,rising – going up,Tumataas ang presyo ng langis.,석유 가격이 오르고 있습니다.
1482,tuluyan,completely – fully or entirely,Tuluyan siyang nawala.,그는 완전히 사라졌습니다.
1483,trapiko,traffic – vehicles moving on roads,Mabigat ang trapiko ngayon.,지금 교통이 혼잡합니다.
1484,tonelada,ton – a unit of weight,Isang tonelada ang bigat ng karga.,화물 무게가 1톤입니다.
1485,tinanggihan,refused – declined or rejected,Tinanggihan niya ang alok.,그는 제안을 거절했습니다.
1486,tinanggal,removed – taken away,Tinanggal ang lumang billboard.,오래된 광고판이 제거되었습니다.
1487,temang,theme – the main subject or topic,Ang temang ito ay kaibigan.,이 주제는 우정입니다.
1488,tekstong,text – the written words,Ang tekstong ito ay maikli.,이 텍스트는 짧습니다.
1489,teknolohiya,technology – the use of scientific knowledge for practical purposes,Ang teknolohiya ay nagbabago ng mundo.,기술은 세상을 변화시키고 있습니다.
1490,tapos,done – finished or completed,Tapos na ang proyekto.,프로젝트가 끝났습니다.
1491,talaga,really – truly or indeed,Talaga bang totoo ito?,정말 사실인가요?
1492,tag-init,summer – the hot season,Ang tag-init ay mainit.,여름은 덥습니다.
1493,sero,zero – the number 0,Ang sero ay hindi positibo o negatibo.,0은 양도 음도 아닙니다.
1494,serbisyong,service – the action of helping or doing work,Ang serbisyong ito ay libre.,이 서비스는 무료입니다.
1495,sentrong,center – the middle point,Sentrong lungsod ang aming lokasyon.,우리 위치는 도심입니다.
1496,sayaw,dance – a series of rhythmic movements,Nagsayaw sila sa entablado.,그들은 무대에서 춤을 췄습니다.
1497,responsable,responsible – having an obligation,Responsable siya sa mga bata.,그는 아이들에게 책임이 있습니다.
1498,rehiyong,region – an area or division,Ang rehiyong ito ay mayaman sa minahan.,이 지역은 광물이 풍부합니다.
1499,ranggo,rank – a position in a hierarchy,Mataas ang ranggo niya.,그는 높은 계급입니다.
1500,pula,red – a primary color,Pula ang kulay ng rosas.,장미는 빨간색입니다.
1501,propesyonal,professional – relating to a paid occupation,Propesyonal siyang doktor.,그는 전문 의사입니다.
1502,porsiyento,percent,Ang porsiyento ng mga estudyanteng pumasa ay 85%.,합격한 학생들의 백분율은 85%입니다.
1503,politika,politics,Nag-aral siya ng politika sa unibersidad.,그는 대학에서 정치학을 공부했습니다.
1504,piso,peso (currency),May limang piso ako sa aking bulsa.,내 지갑에 5페소가 있습니다.
1505,piraso,piece,Isang piraso ng keyk ang kinain ko.,케이크 한 조각을 먹었습니다.
1506,pinaniniwalaang,believed,Pinaniniwalaang siya ang pinakamagaling na manunulat.,그는 가장 뛰어난 작가로 여겨집니다.
1507,pinagsamang,combined,Ang pinagsamang lakas ng grupo ay malakas.,그룹의 결합된 힘이 강합니다.
1508,piling,chosen/selected,Siya ang piling lider ng aming samahan.,그는 우리 단체의 선정된 지도자입니다.
1509,patakarang,policy,Ang bagong patakarang pangkalusugan ay epektibo.,새 건강 정책이 효과적입니다.
1510,pasilidad,facility,Maganda ang pasilidad ng bagong gusali.,새 건물의 시설이 좋습니다.
1511,panukalang,proposed,Ang panukalang batas ay tinanggap ng kongreso.,제안된 법안이 의회에서 통과되었습니다.
1512,panrelihiyon,religious,May malaking papel ang panrelihiyon sa kanyang buhay.,종교가 그의 삶에서 큰 역할을 합니다.
1513,pangkultura,cultural,Ang pista ay may malalim na kahulugang pangkultura.,축제는 깊은 문화적 의미를 가지고 있습니다.
1514,panggitnang,middle/central,Nasa panggitnang bahagi ng lungsod ang aming paaralan.,우리 학교는 도시 중심부에 있습니다.
1515,pangalawa,second,Siya ang pangalawa sa pila.,그는 줄에서 두 번째입니다.
1516,pandiwa,verb,"Ang ""tumakbo"" ay isang halimbawa ng pandiwa.",달리다는 동사의 예입니다.
1517,pananampalataya,faith,Ang pananampalataya ang nagbibigay ng lakas sa kanya.,믿음이 그에게 힘을 줍니다.
1518,pananalapi,financial,Nagkaroon ng problema sa pananalapi ang kumpanya.,회사에 재정 문제가 생겼습니다.
1519,pampanitikan,literary,Ang kanyang akda ay may mataas na uri ng pampanitikan.,그의 작품은 높은 문학적 가치를 가지고 있습니다.
1520,paliwanag,explanation,Kailangan niya ng malinaw na paliwanag.,그는 명확한 설명이 필요합니다.
1521,palitan,exchange/exchange rate,Ang palitan ng dolyar ay tumaas.,달러 환율이 올랐습니다.
1522,palapag,floor,Nasa ikatlong palapag ang opisina namin.,우리 사무실은 3층에 있습니다.
1523,palaging,always,Palaging masaya si Ana.,안나는 항상 즐겁습니다.
1524,palagay,opinion,Ang aking palagay ay tama siya.,제 생각에는 그가 옳습니다.
1525,pagtuturo,teaching,Mahalaga ang pagtuturo sa kabataan.,청소년 교육이 중요합니다.
1526,pagtingin,view/regard,Maganda ang pagtingin niya sa kinabukasan.,그는 미래를 긍정적으로 봅니다.
1527,pagsasama,union/combination,Ang pagsasama ng dalawang kumpanya ay matagumpay.,두 회사의 합병이 성공적이었습니다.
1528,pagpapalabas,screening/broadcasting,Ang pagpapalabas ng palabas ay nagsimula na.,프로그램 방송이 시작되었습니다.
1529,paglilipat,transfer,Nagkaroon ng paglilipat ng opisina.,사무실 이전이 있었습니다.
1530,pagkatuto,learning,Ang pagkatuto ay habangbuhay.,배움은 평생 계속됩니다.
1531,paghahanap,search,Nagpatuloy ang paghahanap sa nawawalang bata.,실종된 아이를 계속 찾고 있습니다.
1532,pagbabagong,change/transformation,Ang pagbabagong ito ay kinakailangan.,이 변화가 필요합니다.
1533,pabalik,back/return,Umuwi siya nang pabalik sa bahay.,그녀는 집으로 돌아갔습니다.
1534,nya,his/her (possessive),Nasa kanya ang aklat na iyon.,그 책은 그녀 것입니다.
1535,number,number/quantity,Ang number ng mga bisita ay dumami.,방문객 수가 늘어났습니다.
1536,nominasyon,nomination,Natanggap niya ang nominasyon bilang presidente.,그는 대통령 후보 지명을 받았습니다.
1537,ninyo,you (plural),Kumain na ba ninyo?,너희는 이미 먹었니?
1538,negatibong,negative,Hindi maganda ang negatibong epekto.,부정적인 영향이 좋지 않습니다.
1539,nakumpleto,completed,Nakumpleto na ang proyekto.,프로젝트가 완료되었습니다.
1540,nakabatay,based/dependent,Nakabatay sa datos ang resulta.,결과는 데이터에 기반합니다.
1541,nagtatampok,featuring/showcasing,Ang palabas ay nagtatampok ng mga lokal na artista.,쇼는 지역 예술가들을 소개합니다.
1542,nagsilbi,served,Nagsilbi siya sa gobyerno ng sampung taon.,그는 정부에서 10년 동안 근무했습니다.
1543,nagsasagawa,conducting/carrying,Ang paaralan ay nagsasagawa ng seminar.,학교에서 세미나를 진행 중입니다.
1544,nagpakita,showed/displayed,Nagpakita siya ng magandang halimbawa.,그는 좋은 본보기를 보여줬습니다.
1545,nagdala,brought,Nagdala siya ng pagkain para sa lahat.,그는 모두를 위해 음식을 가져왔습니다.
1546,nagbabago,changing,Nagbabago ang panahon ngayon.,날씨가 변하고 있습니다.
1547,museo,museum,Bumisita kami sa museo kahapon.,우리는 어제 박물관에 방문했습니다.
1548,mong,your (singular),Nasaan ang mong bag?,너의 가방이 어디 있니?
1549,meron,there is/there are,May meron akong ideya.,나에게 아이디어가 있습니다.
1550,merkado,market,Malaki ang merkado ng produkto.,제품의 시장이 큽니다.
1551,manuskrito,manuscript,Natapos niya ang manuskrito ng libro.,그는 책 원고를 완성했습니다.
1552,malamig,cold,Malamig ang hangin ngayong gabi.,오늘 밤 공기가 차갑습니다.
1553,makina,machine,Bago ang makina sa pabrika.,공장에 새 기계가 있습니다.
1554,makabuluhang,meaningful/significant,Isang makabuluhang aral ang natutunan ko.,나는 의미 있는 교훈을 배웠습니다.
1555,mahinang,weak,Mahinang ang kanyang katawan.,그의 몸이 약합니다.
1556,magsasaka,farmer,Masipag ang magsasaka sa bukirin.,밭에서 농부가 열심히 일하고 있습니다.
1557,magmula,from/since,Magmula kahapon ay umuulan.,어제부터 비가 오고 있습니다.
1558,magagamit,can be used/available,Magagamit mo ang kompyuter mamaya.,너는 나중에 컴퓨터를 사용할 수 있습니다.
1559,lumipas,passed,Ang oras ay mabilis na lumipas.,시간이 빨리 지나갔습니다.
1560,lumahok,participated,Lumahok siya sa paligsahan.,그는 경연 대회에 참가했습니다.
1561,lihim,secret,Itinatago niya ang lihim sa akin.,그는 나에게 비밀을 숨기고 있습니다.
1562,layuning,objective/purpose,Ang layuning ito ay makatulong sa komunidad.,이 목표는 지역 사회를 돕는 것입니다.
1563,lasa,taste,Ang lasa ng pagkain ay masarap.,음식의 맛이 맛있습니다.
1564,lambak,valley,Nasa lambak ang maliit na nayon.,작은 마을이 계곡에 있습니다.
1565,lahi,race/ethnicity,Iba't ibang lahi ang naninirahan dito.,다른 인종들이 여기에 살고 있습니다.
1566,komedya,comedy,Nakakatawa ang palabas na komedya.,코미디 공연이 재미있습니다.
1567,klimang,climate,Ang klimang tropikal ay mainit.,열대 기후는 덥습니다.
1568,katayuang,status/condition,Ang katayuang pangkalusugan niya ay mabuti.,그의 건강 상태가 좋습니다.
1569,kasing,as...as,Kasing ganda niya ang kanyang ina.,그녀는 어머니만큼 아름답습니다.
1570,karagatan,ocean,Malalim ang karagatan na ito.,이 바다는 깊습니다.
1571,kandidato,candidate,Apat na kandidato ang tumakbo.,네 명의 후보가 출마했습니다.
1572,kampus,campus,Maganda ang kampus ng unibersidad.,대학 캠퍼스가 아름답습니다.
1573,kamakailan,recently,Kamakailan ay nagbakasyon kami.,최근에 우리는 휴가를 다녀왔습니다.
1574,kalaban,opponent,Malakas ang kalaban sa laban.,경기에서 상대가 강합니다.
1575,kaisipan,mind/thought,Malalim ang kanyang kaisipan.,그의 사고가 깊습니다.
1576,isulat,to write,Isusulat ko ang liham bukas.,내일 편지를 쓸 것입니다.
1577,istilo,style,Maganda ang istilo ng damit niya.,그녀의 옷 스타일이 아름답습니다.
1578,isama,to include,Isama mo si Maria sa grupo.,마리아를 그룹에 포함시켜라.
1579,isa't,one and,Ang isa't isa ay dapat magtulungan.,서로 도와야 합니다.
1580,ipinadala,sent,Ipinadala ko ang sulat kahapon.,나는 편지를 어제 보냈습니다.
1581,internasyonal,international,Ang kumperensiya ay internasyonal.,회의는 국제적입니다.
1582,institusyong,institution,Ang institusyong ito ay kilalang-kilala.,이 기관은 잘 알려져 있습니다.
1583,iniwan,left behind,Iniwan niya ang kanyang bag sa bus.,그녀는 가방을 버스에 두고 내렸습니다.
1584,indibiduwal,individual,Bawat indibiduwal ay may karapatan.,각 개인은 권리가 있습니다.
1585,iminungkahi,suggested/proposed,Iminungkahi niya ang bagong ideya.,그는 새 아이디어를 제안했습니다.
1586,ika-8,eighth,Ika-8 ng Hunyo ang kaarawan niya.,그녀의 생일은 6월 8일입니다.
1587,ika-12,twelfth,Ika-12 ng Disyembre ang aming anibersaryo.,우리 기념일은 12월 12일입니다.
1588,iilang,few,Iilang tao lang ang dumalo.,소수의 사람들만 참석했습니다.
1589,ideya,idea,Ang ideya niya ay napakahusay.,그녀의 아이디어가 매우 훌륭합니다.
1590,hotel,hotel,Maganda ang serbisyo sa hotel.,호텔의 서비스가 좋습니다.
1591,hinaharap,future,Naghahanda kami para sa hinaharap.,우리는 미래를 준비하고 있습니다.
1592,hika,asthma,May hika ang bata.,아이가 천식이 있습니다.
1593,henerasyon,generation,Ang kabataan ngayon ay bagong henerasyon.,오늘날 젊은이들은 새로운 세대입니다.
1594,hango,based on/derived,Hango sa totoong buhay ang kuwento.,이야기는 실제 사건에 기반합니다.
1595,hanapin,to look for,Hanapin mo ang iyong susi.,당신의 열쇠를 찾아라.
1596,gusaling,building,Ang gusaling ito ay matatag.,이 건물은 견고합니다.
1597,gene,gene,Ang gene ay bahagi ng DNA.,유전자는 DNA의 일부입니다.
1598,gastos,cost/expense,Malaki ang gastos sa proyekto.,프로젝트 비용이 많이 듭니다.
1599,gaano,how much/how many,Gaano kalayo ang bahay mo?,너의 집이 얼마나 멀리 있니?
1600,empleyado,employee,Masipag ang empleyado sa opisina.,사무실 직원이 부지런합니다.
1601,dulot,effect/result,Ang dulot ng ulan ay pagbaha.,비로 인한 결과는 홍수입니다.
1602,dokumento,document,Kumpleto ang dokumento na ipinasa.,제출된 문서가 완전합니다.
1603,depende,depend/depending,Depende sa panahon kung lalabas kami.,우리가 나갈지는 날씨에 따라 달라집니다.
1604,daantaon,century,Ang daantaon na ito ay ika-21.,이 세기는 21세기입니다.
1605,channel,channel,Nasa channel 5 ang paborito kong palabas.,내가 좋아하는 프로그램은 5채널에 있습니다.
1606,buto,seed/bone,Itinanim niya ang buto ng mangga.,그는 망고 씨앗을 심었습니다.
1607,bus,bus,Sumakay kami ng bus papuntang lungsod.,우리는 시내로 가는 버스를 탔습니다.
1608,buo,whole/complete,Buo ang loob niyang sumubok.,그는 시도할 완전한 의지를 가지고 있습니다.
1609,bunga,fruit/result,Ang bunga ng puno ay hinog na.,나무의 과일이 익었습니다.
1610,bumagsak,fell/failed,Bumagsak ang kanyang grado.,그의 성적이 떨어졌습니다.
1611,bukas,tomorrow,Bukas ay may pasok ulit.,내일은 다시 출근합니다.
1612,bilyon,billion,Ang populasyon ay umabot sa isang bilyon.,인구가 10억에 도달했습니다.
1613,bida,main character/lead,Siya ang bida sa palabas.,그는 쇼의 주연입니다.
1614,bayad,payment,Hindi pa ako nakakabayad.,나는 아직 지불하지 않았습니다.
1615,bangko,bank,Malapit lang ang bangko sa eskwelahan.,은행은 학교 근처에 있습니다.
1616,bakit,why,Bakit ka malungkot?,왜 슬픈가요?
1617,bahagyang,slightly/partly,Bahagyang umuulan ngayon.,지금은 약간 비가 오고 있습니다.
1618,baguhin,to change,Gusto kong baguhin ang aking buhok.,나는 머리를 바꾸고 싶습니다.
1619,average,average,Ang average na grado niya ay 85.,그녀의 평균 성적은 85입니다.
1620,area,area,Lawak ang area ng aming paaralan.,우리 학교의 면적이 넓습니다.
1621,aplikasyon,application,Ang aplikasyon ay naaprubahan na.,신청이 승인되었습니다.
1622,alak,alcohol/wine,Hindi umiinom ng alak si Mark.,마크는 술을 마시지 않습니다.
1623,Year,year,Ang Year 2023 ay maganda para sa akin.,2023년은 나에게 좋은 해였습니다.
1624,White,white,Puti ang kulay ng kanyang damit.,그녀의 옷은 흰색입니다.
1625,War,war,Nagkaroon ng digmaan noong World War II.,제2차 세계 대전에 전쟁이 있었다.
1626,Union,union,Ang labor union ay kumilos para sa karapatan.,노동조합이 권리를 위해 행동했다.
1627,Street,street,Ang aming bahay ay nasa Main Street.,우리 집은 메인 스트리트에 있습니다.
1628,State,state,Kalifornia ay isang estado sa Amerika.,캘리포니아는 미국의 주입니다.
1629,St,Saint (abbreviation),Ang St. Peter ay isang santo.,성 베드로는 성인입니다.
1630,Society,society,Mahalaga ang papel ng lipunan o society.,사회의 역할이 중요합니다.
1631,Silangan,east,Sa Silangan lumulubog ang araw.,해는 동쪽에서 뜹니다.
1632,SM,SM (mall chain),Pumunta kami sa SM kahapon.,우리는 어제 SM에 갔습니다.
1633,S.,South (abbreviation),Ang S. Korea ay nasa Asia.,한국은 아시아에 있습니다.
1634,Ruso,Russian,Ruso ang wika nila.,그들은 러시아어를 사용합니다.
1635,Punong Ministro,Prime Minister,Siya ang Punong Ministro ng bansa.,그는 나라의 총리입니다.
1636,Pasipiko,Pacific,Ang Pasipiko ay isang malaking karagatan.,태평양은 거대한 바다입니다.
1637,Party,party (political),Ang Party niya ay nanalo sa halalan.,그의 정당이 선거에서 이겼습니다.
1638,Pandaigdigang,global/worldwide,Ang Pandaigdigang isyu ay mabigat.,세계적인 문제가 심각합니다.
1639,Pandaigdig,world/global,Ang Pandaigdig na ekonomiya ay lumalago.,세계 경제가 성장하고 있습니다.
1640,Pamahalaan,government,Malakas ang Pamahalaan ngayon.,정부가 지금 강합니다.
1641,Olympic,Olympic,Ang Olympic Games ay tuwing apat na taon.,올림픽은 4년마다 열립니다.
1642,Nintendo,Nintendo (company),Ang Nintendo ay gumagawa ng laro.,닌텐도는 게임을 만듭니다.
1643,Nakatanggap,received,Nakatanggap ako ng regalo.,나는 선물을 받았습니다.
1644,Minsan,sometimes,Minsan ay umuulan sa tag-araw.,때로는 여름에 비가 옵니다.
1645,Mehiko,Mexico,Ang Mehiko ay nasa North America.,멕시코는 북아메리카에 있습니다.
1646,Lumang,old,Lumang bahay ang tinitirhan namin.,우리는 오래된 집에 살고 있습니다.
1647,Linyang,line,Ang linyang ito ay tuwid.,이 선은 곧습니다.
1648,Lahat,all,Lahat ay masaya sa party.,모두가 파티에서 즐거워합니다.
